SSID,BSSID,Signal,Channel,Vendor
HAll FRONT,b8:6a:97:44:6f:91:,-42,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-62,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-52,0,Unknown
minila_5,04:75:f9:04:18:fd:,-76,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-73,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-72,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-60,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-82,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-61,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-68,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-85,0,Unknown
STWCU_ICR-1,68:21:5f:9d:09:64:,-81,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-73,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-56,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:13:,-87,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-44,0,Unknown
LR5,72:21:5f:9d:08:9f:,-68,0,Unknown
pradipnet_2,c8:9c:bb:6e:2a:39:,-71,0,Unknown
SOFTWARICA_COVENTRY,62:21:5f:9d:08:9f:,-70,0,Unknown
FACULTY,78:d3:8d:e7:1b:47:,-74,0,Unknown
sarita@vianet,5c:a4:f4:f5:ba:5e:,-66,0,Unknown
NTFiber-df45,b4:cf:e0:16:df:46:,-78,0,Unknown
summitbyanju,e0:1f:2b:09:40:8a:,-78,0,Unknown
Infinix HOT 30i,16:f3:38:2d:23:13:,-83,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-72,0,Unknown
minila_2.4,04:75:f9:04:18:f9:,-70,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-61,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-43,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-61,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-43,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-75,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1a:,-65,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-40,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:13:,-84,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-72,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-66,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-61,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-64,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-62,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-52,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-55,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-43,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-55,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-43,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-67,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-66,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-74,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-56,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-52,0,Unknown
minila_5,04:75:f9:04:18:fd:,-79,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-60,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-64,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-40,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:13:,-84,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:12:,-77,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1a:,-65,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-83,0,Unknown
STWCU_LR-8,68:21:5f:9d:07:f7:,-74,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-52,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-50,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-64,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-52,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-50,0,Unknown
Unknown,a8:32:9a:0c:63:8b:,-78,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-60,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-65,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-46,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-43,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-62,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-58,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-49,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
minila_2.4,04:75:f9:04:18:f9:,-82,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:12:,-77,0,Unknown
STWCU_LR-9,e0:01:a6:80:cc:13:,-83,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-64,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
minila_5,04:75:f9:04:18:fd:,-80,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-80,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-56,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-61,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-56,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-84,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-71,0,Unknown
KABELI GIRLS HOSTEL 3,bc:62:ce:8e:74:df:,-70,0,Unknown
mildhigh-5G,04:20:84:50:bd:2a:,-65,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-84,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-61,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-72,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-72,0,Unknown
NTFiber-D820-2.4G,b4:cf:e0:3d:d8:22:,-76,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-72,0,Unknown
KRITEE_DHFiberNet,1c:3c:d4:48:fc:a8:,-80,0,Unknown
SW,50:91:e3:54:33:1e:,-60,0,Unknown
Kabeli Admin_2G,9c:9d:7e:11:aa:2f:,-72,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-66,0,Unknown
rahul669_2.4,f8:0c:58:60:45:a9:,-78,0,Unknown
jagat Kumari KC 2g,d8:e8:44:c2:a6:f0:,-74,0,Unknown
internet1,04:75:f9:04:8a:39:,-76,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-78,0,Unknown
KABELI GIRLS HOSTEL 2,bc:62:ce:8e:69:57:,-76,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-64,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-50,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-60,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-70,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-81,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-60,0,Unknown
KABELI GIRLS HOSTEL 2,bc:62:ce:8e:69:57:,-77,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-70,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-74,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-60,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-53,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-73,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-68,0,Unknown
NTFiber-a0d1,b4:cf:e0:19:a0:d2:,-78,0,Unknown
SW,50:91:e3:54:33:1e:,-56,0,Unknown
Kabeli Admin_2G,9c:9d:7e:11:aa:2f:,-73,0,Unknown
NTFiber-D820-2.4G,b4:cf:e0:3d:d8:22:,-74,0,Unknown
jagat Kumari KC 2g,d8:e8:44:c2:a6:f0:,-72,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-77,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-52,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-60,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-70,0,Unknown
DSS grp (2g),c4:e2:87:25:74:a8:,-52,0,Unknown
rahul669_5,f8:0c:58:60:45:ad:,-83,0,Unknown
ALHN-5E6B-5,04:75:f9:27:4e:35:,-86,0,Unknown
shahisneha_5,e0:3d:a6:38:d3:9d:,-74,0,Unknown
kopilakhadka_5,d8:b0:20:3b:02:5d:,-88,0,Unknown
nanda05_5,78:17:35:3b:fe:0d:,-81,0,Unknown
MyNetwork,70:a5:6a:9f:66:95:,-70,0,Unknown
NTFiber-D820-5G,b4:cf:e0:3d:d8:21:,-74,0,Unknown
DSS Grp (5g),c4:e2:87:25:74:ac:,-60,0,Unknown
mildhigh-2G,04:20:84:50:bd:28:,-73,0,Unknown
MyNewtork,70:a5:6a:9f:66:94:,-63,0,Unknown
nanda05_2.4,78:17:35:3b:fe:09:,-66,0,Unknown
NTFiber-a0d1,b4:cf:e0:19:a0:d2:,-78,0,Unknown
shahisneha_2,e0:3d:a6:38:d3:99:,-67,0,Unknown
SW,50:91:e3:54:33:1e:,-56,0,Unknown
Kabeli Admin_2G,9c:9d:7e:11:aa:2f:,-73,0,Unknown
NTFiber-D820-2.4G,b4:cf:e0:3d:d8:22:,-74,0,Unknown
jagat Kumari KC 2g,d8:e8:44:c2:a6:f0:,-72,0,Unknown
ALHN-5E6B,04:75:f9:27:4e:31:,-77,0,Unknown
KABELI GIRLS HOSTEL 2,bc:62:ce:8e:69:57:,-76,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-36,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-38,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-31,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-77,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-31,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
pradipnet_2,c8:9c:bb:6e:2a:39:,-76,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-77,0,Unknown
STWCU_LR-8,68:21:5f:9d:07:f7:,-78,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-49,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-57,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-36,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-38,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-66,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-62,0,Unknown
minila_2.4,04:75:f9:04:18:f9:,-74,0,Unknown
siddhubhai_5,ec:a2:a0:06:ef:d6:,-82,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-69,0,Unknown
minila_5,04:75:f9:04:18:fd:,-82,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-79,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-83,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-77,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7f:,-86,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-77,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-36,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-38,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-77,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-44,0,Unknown
pradipnet_2,c8:9c:bb:6e:2a:39:,-76,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-77,0,Unknown
STWCU_LR-8,68:21:5f:9d:07:f7:,-78,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-49,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-57,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-36,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-38,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-66,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-62,0,Unknown
minila_2.4,04:75:f9:04:18:f9:,-74,0,Unknown
siddhubhai_5,ec:a2:a0:06:ef:d6:,-82,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-69,0,Unknown
minila_5,04:75:f9:04:18:fd:,-82,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-79,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-83,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-77,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7f:,-86,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-77,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-39,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-36,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-34,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-47,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-75,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-70,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-84,0,Unknown
STWCU_SL-6,b8:6a:97:44:6f:26:,-90,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-76,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-40,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-36,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-34,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-47,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-75,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-70,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-76,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-69,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-68,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-60,0,Unknown
Tenda_4A05D0,04:95:e6:4a:05:d0:,-78,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-62,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-67,0,Unknown
minila_2.4,04:75:f9:04:18:f9:,-75,0,Unknown
siddhubhai_2,ec:a2:a0:06:ef:d2:,-80,0,Unknown
STWCU_AI_AP1,e0:01:a6:80:c7:f2:,-78,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-40,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-34,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-48,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-73,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-82,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-80,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-34,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-48,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-40,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-73,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-77,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-76,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-69,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-58,0,Unknown
Unknown,a8:32:9a:0c:63:8b:,-82,0,Unknown
FACULTY,78:d3:8d:e7:1b:47:,-78,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-57,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-70,0,Unknown
minila_2.4,04:75:f9:04:18:f9:,-76,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-41,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-37,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-79,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-83,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-41,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-55,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-49,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-41,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-76,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-71,0,Unknown
STWCU_SL-6,b8:6a:97:44:6f:26:,-85,0,Unknown
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-82,0,Unknown
STUDENT-HUB,68:21:5f:9d:08:a0:,-81,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-79,0,Unknown
STWCU_ICR-1,68:21:5f:9d:09:64:,-82,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-41,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-40,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-56,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-49,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-78,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7e:,-68,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-41,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-37,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-56,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-70,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-80,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-35,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-56,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-41,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-70,0,Unknown
STWCU_SL-6,b8:6a:97:44:6f:26:,-84,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-66,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-43,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-42,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
siddhubhai_5,ec:a2:a0:06:ef:d6:,-79,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-76,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-80,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-43,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-42,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-73,0,Unknown
RESEARCH_LAB,b8:6a:97:14:3f:7f:,-86,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-77,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-71,0,Unknown
pradipnet_2,c8:9c:bb:6e:2a:39:,-80,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-73,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-63,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-61,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:17:,-67,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-53,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
STWCU_SL-6,b8:6a:97:44:6f:26:,-83,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-44,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-43,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-35,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-70,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-77,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-80,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-44,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-43,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-71,0,Unknown
STW_CU,b8:6a:97:14:41:c7:,-70,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-76,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-75,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-62,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-35,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-78,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-83,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-36,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
LR5,72:21:5f:9d:08:9f:,-78,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-76,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-76,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-59,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-33,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
nirvan2021_5,c8:9c:bb:6d:58:cd:,-86,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-81,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-77,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-59,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
minila_5,04:75:f9:04:18:fd:,-81,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-74,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-61,0,Unknown
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-83,0,Unknown
STUDENT-HUB,68:21:5f:9d:08:a0:,-82,0,Unknown
siddhubhai_5,ec:a2:a0:06:ef:d6:,-81,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-78,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
LR5,72:21:5f:9d:08:9f:,-78,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-81,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-32,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-32,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
nirvan2021_5,c8:9c:bb:6d:58:cd:,-86,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-81,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-77,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-59,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
minila_5,04:75:f9:04:18:fd:,-81,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-74,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-61,0,Unknown
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-83,0,Unknown
